year,month,value
2010,8,61.25
2010,9,53.19
2010,10,42.82
2010,11,30.81
2010,12,22.93
2011,1,19.38
2011,2,21.67
2011,3,31.84
2011,4,39.72
2011,5,47.03
2011,6,56.93
2011,7,63.36
2011,8,61.63
2011,9,52.74
2011,10,42.35
2011,11,32.4
2011,12,25.29
2012,1,24.67
2012,2,26.96
2012,3,37.96
2012,4,41.7
2012,5,50.22
2012,6,56.86
2012,7,63.54
2012,8,60.19
2012,9,52.52
2012,10,41.7
2012,11,32.09
2012,12,26.02
2013,1,21.79
2013,2,24.08
2013,3,29.1
2013,4,37.26
2013,5,48.16
2013,6,57.76
2013,7,61.97
2013,8,60.57
2013,9,54.72
2013,10,41.54
2013,11,30.74
2013,12,20.61
2014,1,18.68
2014,2,21.25
2014,3,28.18
2014,4,38.8
2014,5,48.43
2014,6,57.34
2014,7,60.76
2014,8,60.24
2014,9,54.1
2014,10,44.44
2014,11,28.24
2014,12,28.27
2015,1,22.89
2015,2,21.58
2015,3,33.01
2015,4,40.62
2015,5,49.12
2015,6,59.05
2015,7,61.84
2015,8,60.1
2015,9,55.72
2015,10,45.37
2015,11,33.96
2015,12,29.26
2016,1,22.59
2016,2,28.11
2016,3,35.51
2016,4,40.8
2016,5,48.13
2016,6,58.59
2016,7,62.51
2016,8,61.21
2016,9,54.82
2016,10,45.55
2016,11,36.36
2016,12,23.29
2017,1,24.35
2017,2,30.2
2017,3,34.47
2017,4,41.68
2017,5,47.84
2017,6,57.43
2017,7,62.83
2017,8,59.74
2017,9,53.76
2017,10,42.93
2017,11,33.87
2017,12,23.76
2018,1,21.16
2018,2,24.37
2018,3,31.44
2018,4,36.19
2018,5,52.61
2018,6,58.91
2018,7,62.65
2018,8,61.03
2018,9,55.69
2018,10,43.03
2018,11,29.86
2018,12,26.26
2019,1,22.84
2019,2,21.96
2019,3,29.19
2019,4,40.82
2019,5,48.11
2019,6,56.23
2019,7,62.11
2019,8,61.11
2019,9,56.25
2019,10,39.88
2019,11,29.89
2019,12,26.78
2020,1,26.02
2020,2,25.21
2020,3,35.44
2020,4,38.12
2020,5,48.4
2020,6,57.51
2020,7,62.87
2020,8,61.54
2020,9,52.99
2020,10,41.59
2020,11,34.3
2020,12,24.82
2021,1,25.2
2021,2,20.41
2021,3,33.15
2021,4,38.82
2021,5,47.8
2021,6,59.56
2021,7,63.18
2021,8,61.61
2021,9,54.48
2021,10,45.36
2021,11,33.28
2021,12,28.74
2022,1,19.44
2022,2,21.04
2022,3,31.41
2022,4,38.08
2022,5,49.37
2022,6,57.83
2022,7,63.55
2022,8,62.24
2022,9,54.84
2022,10,41.81
2022,11,30.0
2022,12,23.65
2023,1,25.79
2023,2,25.05
2023,3,29.62
2023,4,38.39
2023,5,49.66
2023,6,56.41
2023,7,62.58
2023,8,61.79
2023,9,55.02
2023,10,43.95
2023,11,32.79
2023,12,29.8
2024,1,22.73
2024,2,29.7
2024,3,33.53
2024,4,41.22
2024,5,49.89
2024,6,59.0
2024,7,62.96
2024,8,61.27
2024,9,55.36
2024,10,44.82
2024,11,34.88
