year,month,value
2004,4,52.66
2004,5,61.9
2004,6,68.05
2004,7,72.88
2004,8,70.14
2004,9,65.64
2004,10,55.35
2004,11,43.99
2004,12,35.06
2005,1,33.39
2005,2,37.94
2005,3,42.31
2005,4,52.25
2005,5,59.54
2005,6,69.19
2005,7,75.29
2005,8,73.18
2005,9,67.35
2005,10,55.36
2005,11,45.0
2005,12,32.7
2006,1,38.93
2006,2,34.83
2006,3,42.6
2006,4,55.24
2006,5,62.26
2006,6,70.74
2006,7,76.39
2006,8,73.38
2006,9,63.28
2006,10,52.57
2006,11,44.08
2006,12,36.57
2007,1,31.35
2007,2,32.41
2007,3,47.64
2007,4,50.54
2007,5,62.31
2007,6,69.85
2007,7,74.68
2007,8,74.62
2007,9,66.42
2007,10,56.66
2007,11,43.99
2007,12,33.22
2008,1,30.27
2008,2,34.7
2008,3,41.86
2008,4,50.38
2008,5,59.34
2008,6,69.58
2008,7,74.05
2008,8,72.25
2008,9,65.19
2008,10,53.98
2008,11,43.92
2008,12,31.87
2009,1,31.05
2009,2,36.77
2009,3,42.87
2009,4,50.9
2009,5,61.63
2009,6,68.5
2009,7,72.61
2009,8,71.87
2009,9,66.36
2009,10,50.49
2009,11,45.82
2009,12,29.64
2010,1,30.67
2010,2,31.8
2010,3,43.56
2010,4,53.24
2010,5,59.86
2010,6,70.47
2010,7,74.7
2010,8,74.03
2010,9,66.47
2010,10,56.14
2010,11,42.31
2010,12,32.47
2011,1,29.71
2011,2,33.04
2011,3,43.07
2011,4,51.96
2011,5,59.11
2011,6,69.8
2011,7,76.12
2011,8,74.98
2011,9,66.07
2011,10,55.08
2011,11,43.74
2011,12,35.4
2012,1,36.12
2012,2,37.51
2012,3,50.4
2012,4,54.68
2012,5,63.43
2012,6,70.52
2012,7,76.73
2012,8,73.78
2012,9,66.29
2012,10,53.89
2012,11,44.01
2012,12,35.92
2013,1,32.25
2013,2,34.77
2013,3,40.89
2013,4,49.66
2013,5,60.84
2013,6,70.38
2013,7,74.19
2013,8,72.97
2013,9,66.94
2013,10,53.42
2013,11,41.61
2013,12,31.06
2014,1,30.56
2014,2,32.13
2014,3,40.51
2014,4,51.69
2014,5,61.27
2014,6,69.57
2014,7,73.27
2014,8,72.21
2014,9,66.16
2014,10,56.91
2014,11,39.25
2014,12,36.81
2015,1,33.08
2015,2,32.99
2015,3,45.39
2015,4,53.22
2015,5,60.82
2015,6,71.33
2015,7,73.89
2015,8,72.91
2015,9,68.5
2015,10,57.24
2015,11,44.58
2015,12,38.64
2016,1,32.22
2016,2,39.47
2016,3,47.48
2016,4,53.19
2016,5,60.31
2016,6,71.74
2016,7,75.2
2016,8,73.51
2016,9,67.1
2016,10,57.7
2016,11,47.95
2016,12,32.95
2017,1,33.57
2017,2,41.16
2017,3,46.13
2017,4,53.78
2017,5,60.55
2017,6,70.32
2017,7,75.69
2017,8,72.0
2017,9,66.25
2017,10,55.69
2017,11,45.03
2017,12,34.29
2018,1,32.16
2018,2,35.51
2018,3,42.73
2018,4,49.01
2018,5,65.5
2018,6,71.53
2018,7,75.43
2018,8,73.49
2018,9,67.51
2018,10,53.71
2018,11,40.01
2018,12,35.51
2019,1,32.56
2019,2,31.84
2019,3,40.28
2019,4,52.83
2019,5,59.49
2019,6,68.7
2019,7,74.59
2019,8,73.72
2019,9,68.41
2019,10,52.03
2019,11,41.09
2019,12,36.43
2020,1,35.53
2020,2,36.16
2020,3,46.08
2020,4,50.86
2020,5,60.89
2020,6,70.27
2020,7,75.63
2020,8,74.68
2020,9,65.89
2020,10,54.28
2020,11,46.31
2020,12,35.71
2021,1,34.59
2021,2,30.61
2021,3,45.52
